AREA_NAME,YEAR,avg_rent_1br,POPULATION,ASSAULT_RATE,AUTOTHEFT_RATE,BIKETHEFT_RATE,HOMICIDE_RATE,ROBBERY_RATE,SHOOTING_RATE,THEFTFROMMV_RATE,THEFTOVER_RATE,park_count,transit_line_density,total_stop_count,BREAKENTER_RATE,TARGET_RENT_5YR,rent_lag_1,rent_lag_2,rent_growth_rate
Taylor-Massey,2015,1128.0,16617.0,579.475341796875,56.0782585144043,49.8473434448242,6.23091793060303,249.236709594727,12.4269914627075,292.853149414063,18.6927528381348,3.0,0.7382047536996763,32.0,156.47492980957,,1475.0,1525.0,-0.2352542372881356
Taylor-Massey,2016,1553.25,16617.0,598.543762207031,37.023323059082,55.5349884033203,6.17055416107178,104.899421691895,12.3411083221436,215.969390869141,30.8527698516846,3.0,0.7382047536996763,32.0,156.47492980957,,1128.0,1475.0,0.37699468085106386
Taylor-Massey,2017,1450.0,16617.0,621.156616210938,31.0578289031982,31.0578289031982,6.21156597137451,111.80818939209,12.423131942749,236.039505004883,12.423131942749,3.0,0.7382047536996763,32.0,156.47492980957,1795.75,1553.25,1128.0,-0.0664735232576855
Taylor-Massey,2018,1819.25,16617.0,769.375122070313,68.805908203125,106.336395263672,6.21156597137451,112.591484069824,6.25508213043213,187.652465820313,25.0203285217285,3.0,0.7382047536996763,32.0,156.47492980957,2213.25,1450.0,1553.25,0.2546551724137931
Taylor-Massey,2022,1795.75,16617.0,719.78466796875,93.8849563598633,68.8489685058594,6.25899744033813,62.589973449707,18.7769927978516,363.021850585938,25.0359897613525,3.0,0.7382047536996763,32.0,156.47492980957,,1819.25,1450.0,-0.012917411021025147
Taylor-Massey,2023,2213.25,16617.0,859.564147949219,169.49153137207,96.8523025512695,6.25899744033813,175.544799804688,6.05326890945435,199.757873535156,18.1598072052002,3.0,0.7382047536996763,32.0,108.958839416504,,1795.75,1819.25,0.23249338716413756
Taylor-Massey,2024,2257.0,16617.0,884.63623046875,78.2331314086914,78.2331314086914,6.25899744033813,96.2869338989258,6.05326890945435,198.591796875,24.0717334747314,3.0,0.7382047536996763,32.0,108.958839416504,,2213.25,1795.75,0.019767310516209193
The Beaches,2010,1434.3333333333333,23280.0,386.328521728516,36.3603324890137,245.432235717773,4.30107545852661,77.2657012939453,8.59106540679932,309.062805175781,36.3603324890137,13.0,0.6390820661675198,56.0,190.172927856445,1599.5,,,
The Beaches,2011,1673.0,23280.0,386.328521728516,36.3603324890137,245.432235717773,4.30107545852661,77.2657012939453,8.59106540679932,309.062805175781,36.3603324890137,13.0,0.6390820661675198,56.0,190.172927856445,1834.25,1434.3333333333333,,0.16639553799674653
The Beaches,2012,1804.0,23280.0,386.328521728516,36.3603324890137,245.432235717773,4.30107545852661,77.2657012939453,8.59106540679932,309.062805175781,36.3603324890137,13.0,0.6390820661675198,56.0,190.172927856445,1830.5,1673.0,1434.3333333333333,0.07830245068738792
